Internal,Have all Change requests followed SDLC before PROD move?,
Internal,Have all Change requests been approved by the application owner?,
Internal,"Are all artifacts like CR document, Unit test cases available?",
Internal,Is the SIT and UAT sign-off available?,
Internal,Is data deletion from the system done with application owner approval?,
SOX,Have all Change requests followed SDLC before PROD move?,
SOX,Have all Change requests been approved by the application owner?,
SOX,"For a major change, was there a database backup taken before and after PROD move?",
SOX,Has the application owner approval obtained while adding a user to the system?,
SOX,Is data deletion from the system done with application owner approval?,
